0,-90.0
15,-90.0
20,-80.0
50,-43.0
60,-42.0
70,-40.0
80,-38.0
90,-37.0
100,-35.0
200,-34.5
300,-34.0
400,-35.0
500,-34.5
600,-35.0
700,-34.6
800,-34.6
900,-34.6
1000,-34.0
2000,-32.5
3000,-30.0
4000,-26.0
5000,-27.0
6000,-30.0
7000,-31.0
8000,-32.0
9000,-28.0
10000,-26.5
20000,-54.0
21000,-90.0
22000,-90.0
